DocNumber,Items
SSINV-001-0068605,1427070-6
SSINV-001-0068606,6-554720-5-PACK
SSINV-001-0068607,1427070-6
SSINV-001-0068608,1427070-6
SSINV-001-0068609,"1859049-1,1859050-1,1933748-7,1-1859010-0,6-2111979-3-PACK"
SSINV-001-0068610,4-1427431-4
SSINV-001-0068611,A-DQ (ZN) (SR)2Y 1X4 G50
SSINV-001-0068612,6-554720-5-PACK
SSINV-001-0068613,1859218-2
SSINV-001-0068614,1859010-4
SSINV-001-0068615,1427070-6
SSINV-001-0068616,219413-2
SSINV-001-0068617,AT-SPSX
SSINV-001-0068618,AT-FS716L
SSINV-001-0068619,AT-FS716L
SSINV-001-0068620,1427071-6
SSINV-001-0068621,1859008-7
SSINV-001-0068622,4-1427432-2
SSINV-001-0068623,1427070-6
SSINV-001-0068624,"1859050-1,1933748-6,1859008-7,1-1859008-0,1933796-2,1427632-2"
SSINV-001-0068625,1725150-1
SSINV-001-0068626,1427319-1
SSINV-001-0068627,WG033031
SSINV-001-0068631,1427070-6
SSINV-001-0068632,"6-2111979-3-PACK,9-737893-4-PACK"
SSINV-001-0068633,1933748-2
SSINV-001-0068634,BPL-310
SSINV-001-0068635,1427070-6
SSINV-001-0068636,A-DQ (ZN) (SR)2Y 1X4 G50
SSINV-001-0068637,A-DQ (ZN) (SR)2Y 1X4 G50
SSINV-001-0068638,A-DQ (ZN) (SR)2Y 1X4 G50
SSINV-001-0068639,A-DQ (ZN) (SR)2Y 1X4 G50
SSINV-001-0068640,1933796-2
SSINV-001-0068641,AT-SPLX10
SSINV-001-0068642,1427070-6
SSINV-001-0068643,2105007-2
SSINV-001-0068644,1427070-6
SSINV-001-0068645,AT-GS950/48
SSINV-001-0068646,1933748-2
SSINV-001-0068647,1427070-6
SSINV-001-0068648,AT-GS910/24
SSINV-001-0068649,219413-2
SSINV-001-0068650,1375191-6
SSINV-001-0068651,AT-MMC6005
SSINV-001-0068652,"5-569278-3,DGK-AMP-6-569278-3,DGK-AMP-6-2111979-3,DGK-AMP-1827264-1,1933748-7,1711716-1,2-336513-4"
SSINV-001-0068653,"AT-GS950/10PS,AT-GS950/16PS"
SSINV-001-0068654,219413-2
SSINV-001-0068655,6-554720-5-PACK
SSINV-001-0068656,4-1427431-3
SSINV-001-0068657,6-554720-5-PACK
SSINV-001-0068658,1427070-6
SSINV-001-0068659,AT-8000S/24
SSINV-001-0068660,"AT-X230-28GT-N1,AT-X230-28GT-N1-DSA1,AT-MMC2000/SP,AT-SPLX10,AT-MMC2000/SP-DSA1,AT-SPLX10-DSA1"
SSINV-001-0068661,AT-X230-28GT-N1
SSINV-001-0068662,6-554720-5-PACK
SSINV-001-0068663,6-554720-5-PACK
SSINV-001-0068664,1427071-6
SSINV-001-0068665,1859218-2
SSINV-001-0068666,1859218-2
SSINV-001-0068667,AT-FS750/20
SSINV-001-0068668,1859218-2
SSINV-001-0068669,6-554720-5-PACK
SSINV-001-0068670,"1-1859008-0,1933748-1"
SSINV-001-0068671,1427070-6
SSINV-001-0068673,1427319-1
SSINV-001-0068674,1427070-6
SSINV-001-0068675,AT-MC102XL
SSINV-001-0068676,AT-MC102XL
SSINV-001-0068677,84751-1
SSINV-001-0068678,AT-MC102XL
SSINV-001-0068679,AT-MC102XL
SSINV-001-0068680,AT-GS950/8
SSINV-001-0068681,"AT-MC101XL,AT-MC102XL"
SSINV-001-0068682,6-554720-5-PACK
SSINV-001-0068683,"1859008-7,1933748-6"
SSINV-001-0068684,1933748-2
SSINV-001-0068685,1427070-6
SSINV-001-0068686,1427319-1
SSINV-001-0068687,1427319-1
SSINV-001-0068688,"1859049-1,1375191-2"
SSINV-001-0068689,6-569278-3-PACK
SSINV-001-0068690,6-554720-5-PACK
SSINV-001-0068692,1859008-7
SSINV-001-0068693,1859008-7
SSINV-001-0068694,1933748-6
SSINV-001-0068695,1427071-6
SSINV-001-0068696,6-2111979-3-PACK
SSINV-001-0068697,1427070-6
SSINV-001-0068698,"9-737893-4-PACK,6-2111979-3-PACK"
SSINV-001-0068699,219413-2
SSINV-001-0068700,1479154-2
SSINV-001-0068701,1711816-2
SSINV-001-0068702,1427070-6
SSINV-001-0068703,1427070-6
SSINV-001-0068704,1933796-2
SSINV-001-0068705,1859008-4
SSINV-001-0068706,1427070-6
SSINV-001-0068708,"1859049-1,1859008-7,1479154-2,1427632-2"
SSINV-001-0068709,AT-MC101XL
SSINV-001-0068710,"1859049-1,1375191-2"
SSINV-001-0068711,1427070-6
SSINV-001-0068712,1933797-2
SSINV-001-0068713,"WX_AD_EF_MM1,WX_AD_SM1,WX4500-FA-SC,WX_AD_6ACH2"
SSINV-001-0068714,"WX_CALIBRATION,WX_CAL_MM,WX_CAL_SM"
SSINV-001-0068715,"AT-SPSX,AT-MMC2000/SP"
SSINV-001-0068716,1427070-6
SSINV-001-0068717,1427070-6
SSINV-001-0068718,AT-GS950/10PS
SSINV-001-0068719,219413-2
SSINV-001-0068720,6-554720-5-PACK
SSINV-001-0068722,1427070-6
SSINV-001-0068723,"1933796-2,1933797-2,1859081-1,1859082-1,1933748-6,1859008-7,1-1859008-0,1427632-2"
SSINV-001-0068724,1933748-6
SSINV-001-0068725,1375191-7
SSINV-001-0068726,1933748-6
SSINV-001-0068727,DGK-AMP-SPON
SSINV-001-0068728,1427632-2
SSINV-001-0068729,"1427632-2,1859008-7,1-1859008-0"
SSINV-001-0068730,AT-MMC6005
SSINV-001-0068731,AT-MC103XL
SSINV-001-0068732,2105031-1
SSINV-001-0068733,1859050-1
SSINV-001-0068734,1479738-1
SSINV-001-0068735,"1933796-2,1-1859008-0"
SSINV-001-0068737,1427070-6
SSINV-001-0068738,"1933748-1,1859010-4"
SSINV-001-0068739,"1859008-7,1933796-2,1427632-2"
SSINV-001-0068740,1933796-2
SSINV-001-0068741,1427070-6
SSINV-001-0068742,1933308-1
SSINV-001-0068743,219413-2
SSINV-001-0068744,"CCH-CP06-59,SC09B1"
SSINV-001-0068745,A-D(BN)H 1X12 E9/125/245 
SSINV-001-0068746,R308445
SSINV-001-0068747,WCH-04P
SSINV-001-0068748,"F6D3-3M2,F9D3-3M3,R30805"
SSINV-001-0068749,DGK-RDM-R300263-X
SSINV-001-0068750,AT-FS232
SSINV-001-0068751,OTHPCPLAST-S 
SSINV-001-0068752,"1375191-1,1375191-2,1375191-6"
SSINV-001-0068753,"1859050-1,1375191-6,1933748-1"
SSINV-001-0068754,F9DSCSC1-SL
SSINV-001-0068755,"QCPC-6ARFVB-WT07F,1859352-5,1674610,3.00002E+11,1701964,1859352-5,2105028-3,QCH-1RU,3.00002E+11,QCPU-MCBM-1"
SSINV-001-0068756,"1933797-2,1933748-6,1859049-1,1859008-4,1859008-7"
SSINV-001-0068757,6-2111979-3-PACK
SSINV-001-0068758,6-2111979-3-PACK
SSINV-001-0068759,R35057
SSINV-001-0068760,AT-GS910/16
SSINV-001-0068761,AT-MMC6005
SSINV-001-0068762,1711816-2
SSINV-001-0068763,6-569278-3-PACK
SSINV-001-0068764,6-569278-3-PACK
SSINV-001-0068765,AT-8000S/24
SSINV-001-0068766,1859239-4
SSINV-001-0068767,1-1859008-0
SSINV-001-0068768,AT-FS724L
SSINV-001-0068769,AT-FS724L
SSINV-001-0068770,AT-GS950/10PS
SSINV-001-0068771,1933796-2
SSINV-001-0068772,AT-MC102XL
SSINV-001-0068773,1427070-6
SSINV-001-0068774,"1859049-1,1859050-1,1933748-7,1-1859010-0"
SSINV-001-0068775,RA19008HPE
SSINV-001-0068776,1427070-6
SSINV-001-0068777,AT-MC101XL
SSINV-001-0068778,AT-MC103XL
SSINV-001-0068779,1427070-6
SSINV-001-0068780,"1375191-6,1375191-7,1859050-1"
SSINV-001-0068781,6-554720-5-PACK
SSINV-001-0068782,"1116697-1,1116698-1,1859008-4"
SSINV-001-0068783,219413-2
SSINV-001-0068784,1427070-6
SSINV-001-0068785,AT-GS910/24
SSINV-001-0068786,1427070-6
SSINV-001-0068787,AT-FSW708
SSINV-001-0068788,AT-MC101XL
SSINV-001-0068789,6-2111979-3-PACK
SSINV-001-0068790,"1933796-2,1859008-7,1859010-7"
SSINV-001-0068793,AT-X210-24GT-N1
SSINV-001-0068794,AT-SPTX
SSINV-001-0068795,1427070-6
SSINV-001-0068796,"1859049-1,1859050-1,1933748-6,1479738-1,1933748-2,1859008-4,1-1859008-0,1427632-2"
SSINV-001-0068797,1427070-6
SSINV-001-0068798,1427070-6
SSINV-001-0068799,"1859008-7,1116697-1"
SSINV-001-0068800,1-1859010-0
SSINV-001-0068801,AT-GS910/24
SSINV-001-0068802,1427070-6
SSINV-001-0068803,"1933796-2,1859008-7,1427632-2"
SSINV-001-0068804,"1859049-1,1375191-2"
SSINV-001-0068805,AT-FSW708
SSINV-001-0068806,6-2111979-3-PACK
SSINV-001-0068807,1427070-6
SSINV-001-0068808,AT-MC103XL
SSINV-001-0068809,9-737893-4-PACK
SSINV-001-0068810,1933308-1
SSINV-001-0068811,"1859049-1,1933748-6,1479738-1,1427632-2,1435021-1"
SSINV-001-0068812,6-219590-2
SSINV-001-0068813,6-219590-2
SSINV-001-0068814,6-219590-2
SSINV-001-0068815,1427070-6
SSINV-001-0068816,1933796-2
SSINV-001-0068817,6-219590-2
SSINV-001-0068818,"1375191-6,1479154-2,1859239-7,1-1859239-0,1859050-1"
SSINV-001-0068819,6-569278-3-PACK
SSINV-001-0068820,1427070-6
SSINV-001-0068821,"1206138-8,1-5502776-1,1671281-1,657054-000-PACK,2105008-2,84751-1,1671281-1,1-5502776-1,2105032-2,2105008-2,AT-SPLX10"
SSINV-001-0068822,AT-GS950/24
SSINV-001-0068823,AT-FS232
SSINV-001-0068824,1-1859010-0
SSINV-001-0068825,"1859008-7,1-1859008-0"
SSINV-001-0068826,"1479738-1,1933748-6,6-2111979-3-PACK,1427632-2,1933796-2"
SSINV-001-0068827,AT-FSW708
SSINV-001-0068828,AT-GS910/8
SSINV-001-0068829,2105031-3
SSINV-001-0068830,AT-GS950/16
SSINV-001-0068831,1427070-6
SSINV-001-0068832,"1375191-6,6-569278-3-PACK,6-2111979-3-PACK"
SSINV-001-0068833,6-2111979-3-PACK
SSINV-001-0068834,1933748-6
SSINV-001-0068835,"1-1859008-0,1-1859008-0"
SSINV-001-0068836,"1859049-1,1859050-1"
SSINV-001-0068837,1427070-6
SSINV-001-0068838,6-554720-5-PACK
SSINV-001-0068839,1427070-6
SSINV-001-0068840,"1206138-8,5504640-1,2105006-2,2105030-2"
SSINV-001-0068841,"1427632-2,1479154-2,1859239-4,1859239-7"
SSINV-001-0068842,6-219590-2
SSINV-001-0068843,"1859241-7,1859008-7,6-2111979-3-PACK"
SSINV-001-0068844,1427070-6
SSINV-001-0068845,1933796-2
SSINV-001-0068846,6-219590-2
SSINV-001-0068847,1479738-1
SSINV-001-0068848,BPL-ONE
SSINV-001-0068849,BPL-ONE-LC-5WAN
SSINV-001-0068852,AT-FS232
SSINV-001-0068853,2105027-3
SSINV-001-0068854,1933748-6
SSINV-001-0068855,AT-GS950/10PS
SSINV-001-0068856,"AT-GS970M/10,AT-IE200-6GP-80,AT-SPSX,AT-SPLX10,AT-SP10LR"
SSINV-001-0068857,6-569278-3-PACK
SSINV-001-0068858,"AT-MMC2000/SP,AT-SPLX10"
SSINV-001-0068859,1427070-6
SSINV-001-0068860,1725150-1
SSINV-001-0068861,6-219590-2
SSINV-001-0068862,6-554720-5-PACK
SSINV-001-0068863,"AT-MMC2000/SP,AT-SPLX10"
SSINV-001-0068864,1427070-6
SSINV-001-0068865,"9-737893-3-PACK,6-569278-3-PACK"
SSINV-001-0068866,"1933796-2,1933748-2,1-1859008-0,6-569278-3-PACK,1827264-1-PACK,1859049-1,1427632-2"
SSINV-001-0068867,"1375191-6,1375191-1"
SSINV-001-0068868,219413-2
SSINV-001-0068869,6-2111979-3-PACK
SSINV-001-0068870,1427070-6
SSINV-001-0068871,"1933796-2,1427632-2,1859008-7,6-2111979-3-PACK"
SSINV-001-0068872,1479154-2
SSINV-001-0068873,"1933797-2,1859008-4"
SSINV-001-0068874,6-219590-2
SSINV-001-0068875,6-219590-2
SSINV-001-0068876,1427632-2
SSINV-001-0068877,AT-TRAY4
SSINV-001-0068878,AT-MC101XL
SSINV-001-0068879,"1427070-6,6-219590-2"
SSINV-001-0068880,AT-GS950/24
SSINV-001-0068882,"1933748-7,1375191-1"
SSINV-001-0068883,"AT-MMC2000/SP,AT-SPLX10"
SSINV-001-0068885,"AT-FS716L,AT-FS724L"
SSINV-001-0068886,1933796-2
SSINV-001-0068887,AT-MMC6005
SSINV-001-0068888,AT-GS950/16PS
SSINV-001-0068889,1116697-1
SSINV-001-0068890,1375191-6
SSINV-001-0068891,1859218-2
SSINV-001-0068892,1933796-2
SSINV-001-0068893,4-1427432-4
SSINV-001-0068894,A-DQ (ZN) (SR)2Y 1X4 G50
SSINV-001-0068895,"2-1671000-8,1671281-1,1427632-2"
SSINV-001-0068896,"1859239-7,1427632-2"
SSINV-001-0068897,6-219590-2
SSINV-001-0068898,1427070-6
SSINV-001-0068899,F9DSCSC1A
SSINV-001-0068900,1-1859008-0
SSINV-001-0068901,"1933796-2,1859008-4,1-1859008-0,1427632-2"
SSINV-001-0068905,1479738-1
SSINV-001-0068906,AT-GS910/24
SSINV-001-0068907,1427071-6
SSINV-001-0068908,6-554720-5-PACK
SSINV-001-0068909,AT-MC101XL
SSINV-001-0068910,1479738-1
SSINV-001-0068911,1375191-2
SSINV-001-0068912,"1-1859239-0,1-1859008-0,1859008-4"
SSINV-001-0068913,6-554720-5-PACK
SSINV-001-0068914,6-219590-2
SSINV-001-0068915,1427070-6
SSINV-001-0068916,"1427632-2,1933796-2"
SSINV-001-0068917,"1859008-7,1933748-6"
SSINV-001-0068918,"4-1427432-4,4-1427434-4"
SSINV-001-0068919,"2105002-2,2105030-3,2105026-1"
SSINV-001-0068920,AT-TQ4600
SSINV-001-0068921,"1427071-6,6-554720-5-PACK"
SSINV-001-0068922,219413-2
SSINV-001-0068923,AT-MC103XL
SSINV-001-0068924,"1427071-6,6-554720-5-PACK"
SSINV-001-0068925,"1375191-1,1859049-1,6-554720-5-PACK,6-2111979-3-PACK"
SSINV-001-0068926,1375191-1
SSINV-001-0068927,1859008-4
SSINV-001-0068928,1-1859115-1-PACK
SSINV-001-0068931,A-DQ (ZN) (SR)2Y 1X4 G50
SSINV-001-0068932,1427632-2
SSINV-001-0068933,WG026031
SSINV-001-0068934,AT-GS950/24
SSINV-001-0068935,790163-1
SSINV-001-0068936,"1859008-4,1375191-2"
SSINV-001-0068937,"1427632-2,9-737893-4-PACK"
SSINV-001-0068938,1479738-1
SSINV-001-0068939,"1859049-1,1-1859115-1-PACK"
SSINV-001-0068940,"AT-XS916MXS,AT-SP10TW1,AT-SPTX"
SSINV-001-0068941,AT-GS950/16
SSINV-001-0068942,"1427071-6,6-554720-5-PACK"
SSINV-001-0068943,1427070-6
SSINV-001-0068944,"1933796-2,1859049-1,1859008-7,1-1859008-0,1427632-2"
SSINV-001-0068945,"1859008-4,1427632-2,1933796-2"
SSINV-001-0068946,1427070-6
SSINV-001-0068947,1859008-7
SSINV-001-0068948,6-219590-2
SSINV-001-0068949,6-554720-5-PACK
SSINV-001-0068950,1427070-6
SSINV-001-0068951,1933796-2
SSINV-001-0068952,1427071-6
SSINV-001-0068953,1479155-2
SSINV-001-0068954,AT-MMC6005
SSINV-001-0068955,AT-FS724L
SSINV-001-0068956,1427070-6
SSINV-001-0068957,1427070-6
SSINV-001-0068960,DGK-OTH-JAS-TESTSMF
SSINV-001-0068961,AT-GS916M
SSINV-001-0068962,"AT-X550-18XSQ,AT-SPTX"
SSINV-001-0068963,"1427070-6,6-219590-2"
SSINV-001-0068964,1427071-6
SSINV-001-0068965,1427071-6
SSINV-001-0068966,"1933748-6,1859008-7"
SSINV-001-0068967,"1427070-6,6-219590-2"
SSINV-001-0068969,AT-GS910/24
SSINV-001-0068970,"1375191-6,1375191-7,1859050-1,1859049-1,1427632-2,1479154-2,1859239-4,1859239-7,6-554720-5-PACK"
SSINV-001-0068971,1933796-2
SSINV-001-0068972,6-219590-2
SSINV-001-0068973,"1427632-2,1859247-7"
SSINV-001-0068974,6-2111979-3-PACK
SSINV-001-0068975,1427070-6
SSINV-001-0068976,1427070-6
SSINV-001-0068977,"1375191-6,6-554720-5-PACK,1116698-1"
SSINV-001-0068978,"1933748-6,1427632-2,1479738-1"
SSINV-001-0068979,1725150-1
SSINV-001-0068980,AT-XS916MXS
SSINV-001-0068981,1427070-6
SSINV-001-0068982,6-2111979-3-PACK
SSINV-001-0068983,6457567-4
SSINV-001-0068984,6-569278-3-PACK
SSINV-001-0068985,"AT-GS948MPX,AT-TQ4600"
SSINV-001-0068986,"1479154-2,6-554720-5-PACK"
SSINV-001-0068987,6-219590-2
SSINV-001-0068988,6-554720-5-PACK
SSINV-001-0068989,1427070-6
SSINV-001-0068990,1859218-2
SSINV-001-0068991,"1933796-2,1427632-2,1933748-6,1859049-1,1-1859247-0,1859050-1"
SSINV-001-0068992,F9DSCLC1-SL
SSINV-001-0068993,OTHPCPLAST-S 
SSINV-001-0068994,"219413-2,6-554720-5-PACK,1427070-6,6-554720-5-PACK,1375191-1,6-554720-5-PACK,1375191-6,6-554720-5-PACK,1859049-1,6-554720-5-PACK,1859050-1,6-554720-5-PACK,6-554720-5-PACK,6-554720-5-PACK"
SSINV-001-0068995,"1427070-6,6-554720-5-PACK,1427071-6,6-554720-5-PACK"
SSINV-001-0068996,AT-GS950/24
SSINV-001-0068997,AT-SPSX
SSINV-001-0068998,AT-MC101XL
SSINV-001-0068999,AT-GS950/16
SSINV-001-0069001,OTHPCPLAST-S 
SSINV-001-0069002,F9DSCLC1-SL
SSINV-001-0069003,"1479154-2,9-737893-4-PACK,6-2111979-3-PACK"
SSINV-001-0069004,"1427071-6,6-219590-2"
SSINV-001-0069005,1427070-6
SSINV-001-0069006,6-219590-2
SSINV-001-0069007,"1-1859008-0,1859241-7"
SSINV-001-0069008,WX4500-FA-SC
SSINV-001-0069009,3-231652-0
SSINV-001-0069010,AT-MC101XL
SSINV-001-0069011,1427071-6
SSINV-001-0069012,"1859010-7,1859008-7"
SSINV-001-0069013,AT-GS950/16
SSINV-001-0069014,AT-GS950/48
SSINV-001-0069015,AT-FS724L
SSINV-001-0069016,"1933748-6,1-1859008-0,1859008-4,1933796-2,1427632-2,1859050-1,1859049-1"
SSINV-001-0069017,1859008-4
SSINV-001-0069019,1-1859008-0
SSINV-001-0069020,AT-XS916MXS
SSINV-001-0069021,AT-GS910/24
SSINV-001-0069022,"1859241-4,1859241-7"
SSINV-001-0069023,CE28511FE1 (EX)
SSINV-001-0069024,1933748-7
SSINV-001-0069025,"1933796-2,1427632-2"
SSINV-001-0069026,1427070-6
SSINV-001-0069027,1-1859008-0
SSINV-001-0069028,1427070-6
SSINV-001-0069029,95-000-50
SSINV-001-0069030,QCPC-6ARFVB-WT07F
SSINV-001-0069031,1479738-1
SSINV-001-0069032,6-219590-2
SSINV-001-0069033,AT-GS910/24
SSINV-001-0069034,AMP-JAS-TRA-02
SSINV-001-0069035,"A-DQ (ZN) (SR)2Y 2X6 E9,A-DQ (ZN) (SR)2Y 2X6 E9,A-DQ (ZN) (SR)2Y 2X6 E9"
SSINV-001-0069036,6-219590-2
SSINV-001-0069037,"1859008-4,1427632-2,1933797-2"
SSINV-001-0069039,"1859008-4,1427632-2,1933796-2"
SSINV-001-0069040,1859247-7
SSINV-001-0069041,1427071-6
SSINV-001-0069042,1427070-6
SSINV-001-0069043,"1933748-6,1859049-1,1933796-2,1427632-2"
SSINV-001-0069044,"1859049-1,1375191-2"
SSINV-001-0069045,AT-GS910/8
SSINV-001-0069046,"1479154-2,6-554720-5-PACK"
SSINV-001-0069047,"1479154-2,6-554720-5-PACK"
SSINV-001-0069048,1859008-4
SSINV-001-0069049,1427071-6
SSINV-001-0069050,AT-GS900/8PS
SSINV-001-0069051,1427070-6
SSINV-001-0069052,"6-2111979-3-PACK,9-737893-4-PACK"
SSINV-001-0069053,1-1859010-0
SSINV-001-0069054,1-1859010-0
SSINV-001-0069055,1427070-6
SSINV-001-0069056,FGS-MCDS-AB
SSINV-001-0069057,AT-MC101XL
SSINV-001-0069058,1427070-6
SSINV-001-0069059,1933748-6
SSINV-001-0069060,A-DQ (ZN) (SR)2Y 2X6 E9
SSINV-001-0069061,A-DQ (ZN) (SR)2Y 2X6 E9
SSINV-001-0069062,A-DQ (ZN) (SR)2Y 2X6 E9
SSINV-001-0069063,6-219590-2
SSINV-001-0069064,OTHPCPLAST-S 
SSINV-001-0069065,219413-2
SSINV-001-0069066,1859532-2
SSINV-001-0069067,1427070-6
SSINV-001-0069068,"1933796-2,6-2111979-3-PACK,1933748-6,1933748-2,1859049-1"
SSINV-001-0069069,"1859532-2,1711816-2"
SSINV-001-0069070,"F9DSCLC2-SL,F9DLCLC2-SL,F9DLCLC2,F9DLCLC2,F6DSCSC2,F9DSCSC2-SL"
SSINV-001-0069071,1427319-1
SSINV-001-0069072,1-1859008-0
SSINV-001-0069073,"A-DQ (ZN) (SR)2Y 2X6 E9,A-DQ (ZN) (SR)2Y 2X6 E9,A-DQ (ZN) (SR)2Y 2X6 E9,A-DQ (ZN) (SR)2Y 2X6 E9,A-DQ (ZN) (SR)2Y 2X6 E9"
SSINV-001-0069074,"6-554720-5-PACK,1859050-1,1375191-6"
SSINV-001-0069075,1479154-2
SSINV-001-0069076,1427070-6
SSINV-001-0069077,6-2111979-3-PACK
SSINV-001-0069078,6-219590-2
SSINV-001-0069079,"1859247-7,1-1859247-0"
SSINV-001-0069080,AT-MMC2000/SP
SSINV-001-0069081,AT-GS950/8
SSINV-001-0069082,AT-MMC2000/SP
SSINV-001-0069083,6-219590-2
SSINV-001-0069084,6-569278-3-PACK
SSINV-001-0069085,AT-GS950/8
SSINV-001-0069086,1859008-4
SSINV-001-0069087,1427071-6
SSINV-001-0069088,6-219590-2
SSINV-001-0069089,AT-XEM-12S
SSINV-001-0069090,AT-MC102XL
SSINV-001-0069091,"1-1859008-0,1427632-2"
SSINV-001-0069092,"6-219590-2,1427070-6"
SSINV-001-0069093,1427071-6
SSINV-001-0069094,"AT-SPLX10,AT-GS950/16"
SSINV-001-0069095,1427071-6
SSINV-001-0069096,"6-219590-2,1427070-6"
SSINV-001-0069097,SOF-JAS-SWA-WX_AD_EF_MM2
SSINV-001-0069098,1427070-6
SSINV-001-0069099,1375191-6
SSINV-001-0069101,"AT-MMC2000/SP,AT-MC102XL"
SSINV-001-0069102,1427071-6
SSINV-001-0069103,1427071-6
SSINV-001-0069104,219413-2
SSINV-001-0069105,1427070-6
SSINV-001-0069106,AT-MC102XL
SSINV-001-0069107,1859012-7
SSINV-001-0069108,4-1427432-4
SSINV-001-0069109,1427070-6
SSINV-001-0069110,"1933797-2,1933796-2,1427632-2,1859049-1,1933748-6,1859008-4,1859010-7,1-1859008-0"
SSINV-001-0069111,"1427071-6,1427070-6"
SSINV-001-0069112,1933748-6
SSINV-001-0069113,1933748-6
SSINV-001-0069114,"1933796-2,1-1859115-1-PACK"
SSINV-001-0069115,1725150-1
SSINV-001-0069116,1479154-2
SSINV-001-0069117,6-554720-5-PACK
SSINV-001-0069118,6-219590-2
SSINV-001-0069119,"1859239-7,1859050-1"
SSINV-001-0069120,6-219590-2
SSINV-001-0069121,"2-1427430-2,2105050-3,2105026-3"
SSINV-001-0069122,4-1427432-4
SSINV-001-0069123,"1933748-6,1859050-1"
SSINV-001-0069124,"6-219590-2,1427070-6"
SSINV-001-0069125,"1859241-7,1859050-1"
SSINV-001-0069126,1427070-6
SSINV-001-0069127,1711716-1
SSINV-001-0069128,1427070-6
SSINV-001-0069129,"1479738-1,1933748-7,1933748-8,1859010-4,1859012-4,1859009-4,1-1859010-0,1-1859012-0,1859050-1,1859049-1,1933748-7,1933748-8,1427632-2"
SSINV-001-0069130,1-1859010-0
SSINV-001-0069131,AT-SPSX
SSINV-001-0069132,6-219590-2
SSINV-001-0069133,1859008-4
SSINV-001-0069134,AT-MMC6005
SSINV-001-0069135,"1933797-2,AT-GS950/24"
SSINV-001-0069136,1427071-6
SSINV-001-0069137,3-1859419-2
SSINV-001-0069138,4-1427432-2
SSINV-001-0069139,"1206138-8,5504640-1,2105006-2,2105030-2"
SSINV-001-0069140,1427070-6
SSINV-001-0069141,790163-1
SSINV-001-0069142,"6-219590-2,1427070-6"
SSINV-001-0069143,"1859010-7,1-1859010-0,1479738-1,1859050-1,1933748-7,1375191-7,1859241-7"
SSINV-001-0069144,6-219590-2
SSINV-001-0069145,AT-MC102XL
SSINV-001-0069146,1427070-6
SSINV-001-0069147,6-219590-2
SSINV-001-0069148,"1933796-2,1933796-2,1859008-4,1859049-1,1859050-1,1671281-1"
SSINV-001-0069149,A-DQ 2Y (SR) 2Y 1X4 G50
SSINV-001-0069150,1859049-1
SSINV-001-0069151,1479155-2
SSINV-001-0069152,1427070-6
SSINV-001-0069153,1427070-6
SSINV-001-0069154,1-1859008-0
SSINV-001-0069155,6-554720-5-PACK
SSINV-001-0069156,1859010-7
SSINV-001-0069157,1427071-6
SSINV-001-0069158,"AT-GS950/10PS,AT-SPSX"
SSINV-001-0069159,1427070-6
SSINV-001-0069160,"1479738-1,1933748-6,1427632-2"
SSINV-001-0069161,1375191-7
SSINV-001-0069162,OTHPCPLAST-S 
SSINV-001-0069163,"1427070-6,6-219590-2"
SSINV-001-0069164,"1933796-2,1479154-2,1427632-2,1375191-6"
SSINV-001-0069165,1427070-6
SSINV-001-0069166,"1933748-6,1859008-4"
SSINV-001-0069167,1427070-6
SSINV-001-0069169,AT-GS950/10PS
SSINV-001-0069170,"AT-MMC2000/SP,AT-SPSX"
SSINV-001-0069171,1859534-2
SSINV-001-0069172,"AT-MMC2000/SP,AT-SPLX10"
SSINV-001-0069173,"6-2111979-3-PACK,9-737893-3-PACK"
SSINV-001-0069174,1427070-6
SSINV-001-0069175,1427071-6
SSINV-001-0069176,1427071-6
SSINV-001-0069177,AT-GS950/8
SSINV-001-0069178,AT-MC101XL
SSINV-001-0069179,AT-MC101XL
SSINV-001-0069180,6-2111979-3-PACK
SSINV-001-0069181,1859009-7
SSINV-001-0069182,219413-2
SSINV-001-0069183,1427070-6
SSINV-001-0069184,6-219590-2
SSINV-001-0069185,1427070-6
SSINV-001-0069186,1933748-2
SSINV-001-0069187,1-1859218-2
SSINV-001-0069188,6-569278-3-PACK
SSINV-001-0069189,1479738-1
SSINV-001-0069190,1427070-6
SSINV-001-0069191,1427070-6
SSINV-001-0069192,"F9DSCLC1-SL,F9DSCSC1-SL"
SSINV-001-0069193,1427070-6
SSINV-001-0069194,6-2111979-3-PACK
SSINV-001-0069195,1375191-7
SSINV-001-0069196,1427070-6
SSINV-001-0069197,AT-X230-28GT-N1
SSINV-001-0069198,1427070-6
SSINV-001-0069199,"9-737893-4-PACK,6-2111979-3-PACK"
SSINV-001-0069200,A-DQ (ZN) (SR)2Y 2X6 E9
SSINV-001-0069201,A-DQ 2Y (SR) 2Y 1X8 E9
SSINV-001-0069202,1859010-7
SSINV-001-0069203,"1-1859239-0,AT-FSW708"
SSINV-001-0069204,"AT-MMC2000/SP,AT-GS950/8,AT-MC102XL"
SSINV-001-0069205,F9DSTSC3A
SSINV-001-0069206,AT-X230-28GP-N1
SSINV-001-0069207,1427070-6
SSINV-001-0069208,"1933748-6,1859008-4,1859049-1,1479738-1,1427632-2,6-2111979-3-PACK"
SSINV-001-0069209,6-219590-2
SSINV-001-0069210,1427071-6
SSINV-001-0069211,1427070-6
SSINV-001-0069212,1479738-1
SSINV-001-0069214,"1-1859008-0,1933748-1"
SSINV-001-0069215,"3-1859418-2,2-1859420-3"
